,Tipo,Dormitórios,Banheiros,Garagens,Bairro,Valor,Suítes,Mobiliado
392,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
393,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
394,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
395,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
396,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
397,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
398,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
399,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
400,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
401,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,833.75,0,Não
402,Apartamento Padrão,1,1,1, Jardim Lutfalla,950.0,0,Sim
403,Apartamento Padrão,1,1,1, Jardim Lutfalla,950.0,0,Sim
404,Apartamento Padrão,1,1,1, Jardim Lutfalla,950.0,0,Sim
405,Apartamento Padrão,1,1,1, Jardim Lutfalla,950.0,0,Sim
406,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,1042.5,0,Sim
407,Apartamento Padrão,2,1,0, Vila Izabel,556.25,0,Não
408,Apartamento Padrão,2,1,1, Centro,1000.0,0,Não
409,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1062.5,0,Não
410,Apartamento Padrão,3,2,1, Centro,1500.0,1,Não
411,Apartamento Padrão,3,1,1, Centro,3125.0,1,Não
412,Casa Padrão,4,2,3, Portal do Sol,4167.5,1,Sim
413,Apartamento Padrão,1,1,0, Parque Arnold Schimidt,1390.0,0,Sim
414,Casa Padrão,3,1,2, Centro,4861.25,1,Não
415,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,1215.63,0,Sim
416,Apartamento Padrão,2,1,1, Parque Santa Felícia Jardim,1250.0,0,Sim
417,Apartamento Padrão,2,1,1, Vila Nery,837.5,0,Não
418,Casa Padrão,3,2,2, Jardim Bicão,2778.75,1,Sim
419,Apartamento Padrão,2,1,1, Jardim Embaré,1528.75,0,Sim
420,Apartamento Kitnet,1,1,0, Jardim Santa Maria II,750.0,0,Não
421,Apartamento Apartamen...,1,1,0, Jardim Bicão,1111.25,0,Não
422,Apartamento Apartamen...,1,1,0, Jardim Bicão,1111.25,0,Não
423,Apartamento Padrão,2,1,1, Jardim Embaré,1250.0,0,Não
424,Casa Padrão,10,3,2, Centro,8333.75,0,Sim
425,Casa Padrão,2,1,1, Vila Boa Vista 1,1725.0,1,Sim
426,Casa Sobrado,3,2,3, Jardim Hikari,2083.75,0,Sim
427,Casa Padrão,6,1,2, Centreville,11111.25,6,Não
428,Apartamento Padrão,2,1,1, Parque Sabará,2343.75,0,Sim
429,Casa Sobrado,4,1,2, Parque Santa Mônica,5556.25,2,Não
430,Casa Condomínio,3,1,4, Condomínio Residencial Quebec,8195.0,1,Sim
431,Casa Padrão,2,1,2, Centro,2778.75,1,Não
432,Casa Padrão,3,1,4, Centro,2250.0,0,Não
433,Apartamento Padrão,3,1,1, Centro,1375.0,0,Sim
434,Casa Padrão,3,1,2, Cidade Jardim,2778.75,1,Não
435,Casa Padrão,3,2,3, Jardim São Carlos 5,1390.0,1,Não
436,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,1667.5,0,Sim
437,Apartamento Padrão,2,1,1, Jardim Embaré,938.75,0,Não
438,Casa Padrão,1,1,0, Vila Monte Carlo,833.75,0,Não
439,Casa Padrão,3,1,1, Vila Boa Vista 1,1667.5,0,Não
440,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,1111.25,0,Sim
441,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,1000.0,0,Não
442,Casa Sobrado,4,6,4, Jardim Lutfalla,12500.0,3,Sim
443,Casa Sobrado,6,4,5, Parque Santa Marta,6945.0,2,Sim
444,Apartamento Padrão,1,1,1, Parque Santa Felícia Jardim,903.75,1,Sim
445,Casa Padrão,1,1,0, Jardim Macarenco,1112.5,0,Não
446,Apartamento Padrão,2,1,1, Jardim Jockei Club A,1500.0,0,Não
447,Apartamento Kitnet,1,1,0, Jardim Macarenco,1112.5,0,Não
448,Apartamento Kitnet,1,1,0, Jardim Macarenco,1112.5,0,Não
449,Apartamento Padrão,2,1,1, Jardim Santa Paula,1250.0,0,Não
450,Casa Padrão,2,1,1, Vila Monteiro Gleba I,1250.0,0,Sim
451,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,1361.25,0,Sim
452,Casa Padrão,2,1,1, Conjunto Habitacional Dom Constantino ,833.75,0,Não
453,Apartamento Padrão,2,1,1, Jardim Nova Santa Paula,1111.25,0,Sim
454,Casa Padrão,1,1,1, Jardim Macarenco,1390.0,0,Não
455,Apartamento Padrão,2,1,1, Jardim Paraíso,1390.0,0,Não
456,Apartamento Padrão,2,1,1, Jardim Hikare,1528.75,0,Sim
457,Apartamento Padrão,2,1,1, Parque Faber Castell I,2087.5,1,Sim
458,Apartamento Padrão,1,1,0, Centro,1042.5,0,Não
459,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
460,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
461,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
462,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
463,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
464,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
465,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
466,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
467,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
468,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
469,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
470,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
471,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
472,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
473,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
474,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
475,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
476,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
477,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
478,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
479,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
480,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
481,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
482,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1390.0,0,Sim
483,Apartamento Padrão,2,1,1, Jardim Embaré,1000.0,0,Não
484,Apartamento Apartamen...,2,1,1, Jardim Centenário,1111.25,0,Não
485,Apartamento Apartamen...,2,1,1, Jardim Centenário,1111.25,0,Não
486,Apartamento Apartamen...,1,1,1, Jardim Centenário,972.5,0,Não
487,Casa Padrão,2,1,0, Núcleo Residencial Silvio Vilar,1667.5,0,Não
488,Apartamento Padrão,2,1,1, Jardim Embaré,1112.5,0,Não
489,Casa Edícula,1,1,0, Vila Boa Vista 1,695.0,0,Não
490,Casa Padrão,3,1,2, Jardim Centenário,1667.5,1,Não
491,Casa Padrão,4,2,8, Jardim Paraíso,7500.0,4,Não
492,Casa Condomínio,2,1,2, Agua Vermelha,1111.25,0,Sim
493,Casa Condomínio,3,1,2, Jardim Ipanema,1250.0,0,Não
494,Casa Padrão,3,1,2, Centro,2125.0,0,Não
495,Apartamento Padrão,2,1,1, Jardim das Torres,1111.25,0,Não
496,Casa Padrão,1,1,0, Núcleo Residencial Silvio Vilar,1667.5,0,Não
497,Casa Padrão,1,1,1, Núcleo Residencial Silvio Vilar,1875.0,1,Sim
498,Apartamento Padrão,2,1,1, Romeu Santini,972.5,0,Sim
499,Casa Padrão,2,2,5, Loteamento Habitacional São Car,1390.0,0,Não
500,Apartamento Padrão,2,1,1, Centro,3125.0,1,Sim
501,Apartamento Padrão,3,1,2, Parque Faber Castell I,4250.0,3,Sim
502,Casa Padrão,3,1,2, Jardim Brasil,3472.5,1,Não
503,Apartamento Kitnet,1,1,0, Núcleo Residencial Silvio Vilar,812.5,0,Não
504,Apartamento Padrão,1,1,1, Jardim Alvorada,1042.19,1,Sim
505,Apartamento Padrão,2,1,1, Jardim Ipanema,1111.25,0,Sim
506,Casa Padrão,2,1,2, Jardim Beatriz,1806.25,1,Não
507,Casa Sobrado,4,4,5, Jardim Beatriz,4861.25,1,Sim
508,Apartamento Padrão,2,1,2, Parque Faber Castell I,3375.0,1,Não
509,Casa Padrão,4,4,4, Centro,2083.75,2,Não
510,Casa Padrão,3,1,4, Jardim Beatriz,4445.0,0,Não
511,Casa Padrão,2,1,2, Jardim Acapulco,2083.75,1,Sim
512,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,972.5,0,Sim
513,Apartamento Padrão,1,1,1, Parque Santa Felícia Jardim,833.75,0,Sim
514,Casa Padrão,5,3,1, Centro,20833.75,0,Sim
515,Apartamento Padrão,1,1,1, Jardim Santa Paula,695.0,0,Não
516,Casa Condomínio,5,3,4, Parque Faber Castell I,7640.0,2,Sim
517,Apartamento Padrão,2,1,1, Jardim Embaré,1187.5,0,Não
518,Apartamento Padrão,2,1,1, Jardim Brasil,1667.5,1,Sim
519,Apartamento Padrão,2,1,1, Jardim Brasil,1667.5,1,Sim
520,Casa Padrão,3,1,2, Jardim Nova Santa Paula,2778.75,1,Sim
521,Casa Padrão,2,1,2, Nova Estancia,1667.5,0,Não
522,Apartamento Padrão,1,1,1, Centro,1250.0,0,Sim
523,Casa Padrão,3,2,3, Vila Lutfalla,2778.75,0,Não
524,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,1181.25,0,Não
525,Casa Padrão,2,1,1, Cidade Jardim,1736.25,1,Sim
526,Casa Padrão,4,1,2, Jardim Centenário,3375.0,1,Não
527,Casa Padrão,3,1,5, Vila Monteiro Gleba I,3750.0,1,Sim
528,Apartamento Kitnet,1,1,1, Cidade Jardim,1250.0,0,Não
529,Casa Padrão,1,1,1, Jardim Brasil,1390.0,0,Não
530,Apartamento Padrão,3,2,1, Centro,2250.0,1,Sim
531,Casa Padrão,4,2,2, Jardim Macarengo,6875.0,1,Sim
532,Casa Padrão,1,1,2, Vila Carmem,1111.25,0,Sim
533,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
534,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
535,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
536,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
537,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
538,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
539,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
540,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
541,Apartamento Padrão,1,1,1, Jardim Lutfalla,1736.25,0,Não
542,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
543,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
544,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
545,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
546,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
547,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
548,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
549,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
550,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
551,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
552,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
553,Apartamento Padrão,2,1,1, Jardim Lutfalla,2015.0,0,Não
554,Casa Padrão,2,1,2, Parque Santa Felícia Jardim,2083.75,0,Não
555,Apartamento Padrão,1,1,1, Centro,1042.5,0,Sim
556,Apartamento Padrão,2,1,1, Jardim Embaré,833.75,0,Não
557,Casa Padrão,2,1,2, Jardim Nova Santa Paula,2222.5,1,Não
558,Casa Condomínio,2,1,2, Jardim Ipanema,2125.0,0,Sim
559,Casa Padrão,4,2,5, Jardim Sao Carlos,2083.75,0,Sim
560,Casa Padrão,5,2,2, Jardim Nova Santa Paula,3062.5,1,Não
561,Apartamento Padrão,2,1,1, Jardim das Torres,1111.25,0,Sim
562,Apartamento Padrão,2,1,1, Centro,1275.0,0,Não
563,Apartamento Padrão,2,1,2, Centro,2950.0,1,Sim
564,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,1100.0,0,Não
565,Apartamento Padrão,1,1,1, Jardim Lutfalla,1375.0,0,Sim
566,Casa Condomínio,4,1,4, Condominio Parque Residencial Damha I,9722.5,4,Não
567,Casa Padrão,2,1,3, Loteamento Albertini,2360.0,0,Não
568,Casa Padrão,1,1,1, Parque Santa Felícia Jardim,972.5,0,Não
569,Casa Padrão,1,1,1, Parque Santa Felícia Jardim,1111.25,0,Não
570,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,3375.0,0,Sim
571,Casa Padrão,3,2,0, Centro,3890.0,1,Sim
572,Casa Padrão,4,3,4, Jardim Social Belvedere,2083.75,0,Sim
573,Apartamento Padrão,2,1,1, Jardim Embaré,1111.25,0,Não
574,Apartamento Padrão,2,1,1, Parque Arnold Schimidt,2250.0,0,Sim
575,Casa Sobrado,2,1,6, Parque Santa Marta,6000.0,2,Sim
576,Casa Padrão,2,1,1, Vila Boa Vista 1,1318.75,0,Não
577,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,903.75,0,Sim
578,Apartamento Padrão,2,2,1, PUREZA VILA,1875.0,0,Não
579,Apartamento Padrão,2,1,1, Residencial Parati,1390.0,0,Não
580,Apartamento Padrão,2,1,1, Jardim Brasil,1052.5,0,Sim
581,Casa Sobrado,1,2,0, Centro,2778.75,0,Não
582,Casa Padrão,2,1,2, Vila Carmem,1528.75,0,Não
583,Apartamento Padrão,3,1,2, Parque Santa Mônica,1875.0,1,Sim
584,Apartamento Padrão,2,1,1, Centro,1320.0,0,Sim
585,Casa Padrão,2,2,1, Centro,6945.0,0,Sim
586,Casa Padrão,3,3,4, Centro,6250.0,1,Sim
587,Casa Padrão,3,2,3, Jardim Araucária,2361.25,0,Não
588,Apartamento Padrão,2,1,2, Vila Monteiro Gleba I,1111.25,0,Sim
589,Apartamento Kitnet,1,1,1, Jardim Hikari,1105.0,0,Sim
590,Casa Padrão,3,1,4, Estancia Suica,3195.0,1,Sim
591,Apartamento Padrão,2,1,1, Recreio São Judas Tadeu,1112.5,0,Sim
592,Apartamento Padrão,2,1,1, Recreio São Judas Tadeu,1390.0,0,Sim
593,Apartamento Padrão,2,1,1, Jardim Embaré,695.0,0,Não
594,Apartamento Padrão,2,1,1, Parque Santa Felícia Jardim,1315.0,0,Não
595,Apartamento Kitchnet ...,1,1,0, Jardim Tangará,556.25,0,Não
596,Apartamento Padrão,3,1,1, Centro,3250.0,1,Sim
597,Apartamento Padrão,1,1,1, Parque Arnold Schimidt,1443.75,0,Sim
598,Casa Padrão,4,2,10, Centro,15000.0,2,Não
599,Apartamento Padrão,3,1,2, Centro,3750.0,1,Sim
600,Apartamento Padrão,1,1,0, Vila Costa do Sol,875.0,0,Não
601,Apartamento Padrão,2,1,1, Romeu Santini,945.0,0,Não
602,Casa Padrão,3,2,0, Núcleo Residencial Silvio Vilar,2778.75,0,Não
603,Apartamento Padrão,2,1,1, Jardim Brasil,903.75,1,Sim
604,Apartamento Padrão,1,1,1, Jardim Lutfalla,812.5,0,Não
605,Apartamento Padrão,2,1,1, Parque Fehr,1042.5,0,Sim
606,Apartamento Padrão,2,1,2, Centro,2778.75,0,Não
607,Apartamento Padrão,2,1,1, Jardim Embaré,1237.5,0,Não
608,Casa Condomínio,2,2,2, Jardim Ipanema,1250.0,0,Não
609,Casa Condomínio,2,1,2, Jardim Ipanema,1181.25,0,Sim
610,Apartamento Padrão,1,1,0, Parque Santa Felícia Jardim,833.75,0,Não
611,Apartamento Padrão,2,1,1, Vila Izabel,1237.5,0,Sim
612,Apartamento Padrão,2,1,1, Jardim Embaré,937.5,0,Não
613,Casa Padrão,3,1,3, Jardim Brasil,7500.0,1,Sim
614,Casa Padrão,2,1,2, Centro,1736.25,0,Não
615,Casa Padrão,2,1,1, Parque Santa Felícia Jardim,1250.0,1,Não
616,Casa Sobrado,5,4,2, Jardim Alvorada,4583.75,1,Sim
617,Casa Padrão,2,1,1, Jardim Botafogo 1,1912.5,0,Não
618,Apartamento Padrão,1,1,1, Centro,3125.0,1,Não
619,Apartamento Padrão,3,1,1, Centro,1812.5,1,Não
620,Apartamento Padrão,2,1,1, Jardim Embaré,833.75,0,Não
621,Apartamento Padrão,2,1,1, Jardim Sao Carlos,1125.0,0,Não
622,Apartamento Padrão,2,2,1, Parque Santa Mônica,1875.0,1,Não
623,Apartamento Padrão,2,1,1, Vila Nery,1945.0,0,Sim
624,Apartamento Padrão,2,1,1, Jardim Embaré,833.75,0,Não
625,Casa Padrão,3,2,3, Vila Monteiro Gleba I,4861.25,1,Não
626,Apartamento Padrão,2,1,1, Vila Faria,1562.5,0,Não
627,Apartamento Padrão,2,1,1, Jardim Embaré,1111.25,0,Não
628,Apartamento Padrão,2,1,1, Jardim Lutfalla,2062.5,0,Não
629,Casa Padrão,2,1,2, Jardim Paulistano,1750.0,1,Não
